NOM_USUEL;AAAAMM;RR;RR_ME;UMM;INST;TM
NICE;202001;21.6;;65.0;9125.0;11.0
NICE;202002;0.0;;63.0;10897.0;12.3
NICE;202003;72.6;;67.0;10569.0;12.0
NICE;202004;79.5;;65.0;15118.0;15.0
NICE;202005;77.9;;72.0;15850.0;18.9
NICE;202006;86.4;;72.0;18704.0;21.1
NICE;202007;2.6;;71.0;19673.0;24.8
NICE;202008;6.0;;66.0;19741.0;25.8
NICE;202009;78.9;;62.0;14502.0;22.6
NICE;202010;138.4;;73.0;10707.0;16.1
NICE;202011;2.4;;71.0;10633.0;14.8
NICE;202012;149.4;;73.0;6250.0;9.8
NICE;202101;101.9;;69.0;7199.0;8.8
NICE;202102;59.9;;74.0;8857.0;11.3
NICE;202103;8.4;;64.0;14698.0;12.0
NICE;202104;122.6;;70.0;11196.0;13.3
NICE;202105;38.0;;71.0;15806.0;17.2
NICE;202106;2.4;;72.0;18735.0;22.8
NICE;202107;4.6;;72.0;20236.0;24.3
NICE;202108;45.7;;66.0;19519.0;24.8
NICE;202109;47.3;;68.0;15033.0;22.7
NICE;202110;42.6;;67.0;12768.0;17.7
NICE;202111;84.0;;66.0;8849.0;13.8
NICE;202112;48.6;;62.0;10229.0;10.4
NICE;202201;11.3;;61.0;12782.0;9.6
NICE;202202;26.8;;64.0;12668.0;11.0
NICE;202203;18.9;;60.0;10273.0;11.8
NICE;202204;26.1;;64.0;15226.0;14.4
NICE;202205;2.2;;72.0;18047.0;19.7
NICE;202206;22.6;;68.0;20801.0;24.1
NICE;202207;0.6;;65.0;24111.0;27.1
NICE;202208;12.1;;62.0;19039.0;26.5
NICE;202209;40.5;;60.0;15389.0;22.7
NICE;202210;109.7;;74.0;13501.0;19.6
NICE;202211;82.7;;65.0;9854.0;14.9
NICE;202212;112.4;;74.0;6730.0;11.1
NICE;202301;45.2;;60.0;9335.0;10.3
NICE;202302;11.1;;63.0;9399.0;10.3
NICE;202303;1.4;;64.0;15663.0;13.4
NICE;202304;19.7;;66.0;16171.0;14.8
NICE;202305;38.8;;69.0;15843.0;18.8
NICE;202306;19.8;;72.0;16627.0;23.3
NICE;202307;2.8;;67.0;22412.0;26.2
NICE;202308;24.0;;62.0;20066.0;25.4
NICE;202309;43.7;;65.0;16766.0;23.3
NICE;202310;104.8;;70.0;12556.0;20.2
NICE;202311;29.0;;60.0;11427.0;13.5
NICE;202312;63.0;;68.0;9240.0;11.2
NICE-RIMIEZ;202001;24.2;;64.0;;9.8
NICE-RIMIEZ;202002;1.8;;60.0;;11.0
NICE-RIMIEZ;202003;83.6;;63.0;;10.8
NICE-RIMIEZ;202004;42.7;;58.0;;14.0
NICE-RIMIEZ;202005;91.4;;65.0;;17.8
NICE-RIMIEZ;202006;102.9;;67.0;;19.8
NICE-RIMIEZ;202007;3.2;;68.0;;23.1
NICE-RIMIEZ;202008;11.7;;62.0;;24.4
NICE-RIMIEZ;202009;53.4;;57.0;;21.4
NICE-RIMIEZ;202010;142.5;;71.0;;14.7
NICE-RIMIEZ;202011;7.0;;74.0;;13.2
NICE-RIMIEZ;202012;130.4;;75.0;;8.5
NICE-RIMIEZ;202101;98.8;;69.0;;7.5
NICE-RIMIEZ;202102;37.3;;72.0;;10.3
NICE-RIMIEZ;202103;12.2;;62.0;;10.7
NICE-RIMIEZ;202104;93.4;;67.0;;12.1
NICE-RIMIEZ;202105;54.1;;67.0;;15.9
NICE-RIMIEZ;202106;1.6;;66.0;;21.7
NICE-RIMIEZ;202107;31.4;;69.0;;23.1
NICE-RIMIEZ;202108;9.4;;62.0;;23.5
NICE-RIMIEZ;202109;26.4;;65.0;;21.5
NICE-RIMIEZ;202110;66.2;;70.0;;16.3
